Timestamp,Event,Class,Confidence,Details
2026-03-30 09:08:06,ACCIDENT,AI Detection,71.4%,"Box: [488, 201, 598, 275]"
2026-03-30 10:51:01,ACCIDENT,AI Detection,69.6%,"Box: [487, 199, 600, 275]"
2026-03-30 10:51:09,ACCIDENT,AI Detection,82.4%,"Box: [430, 199, 506, 259]"
2026-03-30 10:51:17,ACCIDENT,AI Detection,78.8%,"Box: [240, 208, 368, 261]"
2026-03-30 10:58:32,ACCIDENT,AI Detection,90.7%,"Box: [457, 169, 559, 273]"
2026-03-30 10:58:38,ACCIDENT,AI Detection,91.7%,"Box: [422, 202, 490, 260]"
2026-03-30 10:58:45,ACCIDENT,AI Detection,66.9%,"Box: [244, 208, 365, 260]"
2026-03-30 10:59:43,ACCIDENT,AI Detection,90.7%,"Box: [457, 169, 559, 273]"
2026-03-30 11:00:00,ACCIDENT,AI Detection,91.4%,"Box: [30, 217, 172, 305]"
2026-03-30 11:00:24,ACCIDENT,AI Detection,89.2%,"Box: [45, 205, 207, 318]"
2026-03-30 11:00:34,ACCIDENT,AI Detection,65.5%,"Box: [329, 166, 415, 223]"
2026-03-30 11:01:00,ACCIDENT,AI Detection,71.2%,"Box: [321, 189, 399, 245]"
2026-03-30 11:01:30,ACCIDENT,AI Detection,87.5%,"Box: [298, 182, 439, 285]"
2026-03-30 11:01:45,ACCIDENT,AI Detection,91.3%,"Box: [447, 180, 567, 253]"
2026-03-30 11:04:50,ACCIDENT,AI Detection,86.6%,"Box: [2, 129, 117, 189]"
2026-03-30 11:14:57,ACCIDENT,AI Detection,90.7%,"Box: [457, 169, 559, 273]"
2026-03-30 11:15:04,ACCIDENT,AI Detection,91.7%,"Box: [422, 202, 490, 260]"
2026-03-30 11:15:11,ACCIDENT,AI Detection,66.9%,"Box: [244, 208, 365, 260]"
2026-03-30 11:21:27,ACCIDENT,AI Detection,91.7%,"Box: [422, 202, 490, 260]"
2026-03-30 11:25:58,ACCIDENT,AI Detection,84.1%,"Box: [304, 185, 359, 234]"
2026-03-30 11:26:21,ACCIDENT,AI Detection,68.7%,"Box: [254, 177, 404, 253]"
2026-03-30 11:26:26,ACCIDENT,AI Detection,89.5%,"Box: [96, 176, 233, 266]"
